title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
Kappela,2020,"Dramas, International Movies, Romantic Movies",India,7.6,5.910945274,6.396886058,6.337677054,5.937209302,6.671413775,5.911553785,6.368115942,6.315401302,5.934177215,5.998884758,5.902097902,5.936806232,5.924731183,5.900995025
Karthik Calling Karthik,2010,"Dramas, International Movies, Thrillers",India,7,5.908374875,6.884466019,6.709705043,6.121778448,6.868483979,5.905189621,6.858882183,6.694534621,6.08343949,6.386160714,5.903096903,6.146625291,6.168471105,5.96713615
Karzzzz,2008,"International Movies, Music & Musicals, Romantic Movies",India,2.1,0,5.027950311,4.434456929,5.75142315,4.121276596,0,5.095238095,4.521008403,5.785782901,5.570319635,0,5.802726388,5.693637227,5.86278381
Kate & Leopold,2001,"Comedies, Romantic Movies",United States,6.4,5.895049505,6.543416054,6.289642672,6.361843712,6.288949055,5.896414343,6.388496562,6.186689147,6.256279375,6.575289466,5.903482587,6.597580335,6.463972619,6.531685251
Kath & Kimderella,2012,Comedies,Australia,5.3,0,5.797925311,5.63559322,5.843309002,5.558659218,0,5.823885918,5.639702428,5.827715997,5.831839258,0,5.878035218,5.865017668,5.911142587
Kay Dyache Bola,2005,"Comedies, Dramas, International Movies",India,7.1,0,5.960287081,5.995180723,5.859742829,6.045518453,0,5.957718121,5.995246971,5.866336634,5.891295747,0,5.903193613,5.902385686,5.895104895
Khubsoorat,1980,"Classic Movies, Comedies, Dramas",India,7.6,0,6.178595318,6.726500811,6.054703833,6.772749392,0,6.121877692,6.619607843,6.013452915,6.216498316,0,5.977777778,6.099819982,5.942095053
Khushi,2003,"Comedies, International Movies, Music & Musicals",India,4.4,0,5.476470588,5.24841629,5.795097132,5.049150849,0,5.531245106,5.23343465,5.806161137,5.801284109,0,5.825925926,5.9,5.882261209
Killers,2010,"Action & Adventure, Comedies, Romantic Movies",United States,5.5,5.900891972,5.708400538,5.314861417,5.452164841,5.312264922,5.901789264,5.531034215,5.224606299,5.376481836,5.707726781,5.902392822,5.991383025,5.531941228,5.776074553
King's Ransom,2005,"Action & Adventure, Comedies","United States, Canada",4.4,5.895522388,5.526392962,4.913522766,5.211797406,4.751339915,5.9000999,5.608533747,4.896125186,5.284990125,5.558983536,5.883665339,5.765671642,5.717661488,5.783226398
Kingpin,1996,"Comedies, Cult Movies, Sports Movies",United States,6.9,5.904975124,6.562211505,6.875642431,6.829913092,6.88218485,5.904975124,6.549567507,6.970891,6.822946525,6.311410347,0,6.083622484,6.270967742,6.111941702
Kisaan,2009,"Action & Adventure, Dramas, International Movies",India,5.4,0,5.868181818,5.832386868,5.894931774,5.797512438,0,5.868181818,5.836193029,5.889715965,5.895857988,0,0,5.895134062,5.904975124
Kon-Tiki,2012,"Action & Adventure, Dramas, International Movies","United Kingdom, Norway, Denmark, Germany, Sweden",7.2,5.922986248,7.145950704,7.145540614,6.933333333,7.161535047,5.915399803,7.110529165,7.136402329,6.912558575,7.092715428,5.906187625,6.818379217,6.962243667,6.475985874
Koshish,1972,"International Movies, Romantic Movies",India,8.6,0,6.332997481,7.109090909,6.033333333,7.194123556,0,6.298209719,6.974473209,5.986256781,6.273526825,0,5.947740668,6.183546618,5.940117994
Krishna and His Leela,2020,"International Movies, Romantic Movies",India,5.4,5.904095904,5.80096231,5.763349917,5.881612586,5.655136541,5.904095904,5.808163265,5.766666667,5.881102362,5.89718173,0,5.901671583,5.894632207,5.904095904
Krishna Cottage,2004,"Action & Adventure, Horror Movies, International Movies",India,5.1,0,5.738461538,5.581873112,5.883090379,5.549115314,0,5.751181102,5.596932515,5.882926829,5.865504241,0,5.883657588,5.874509804,5.90438247
Krystal,2017,"Comedies, Dramas",United States,5.4,5.899401795,5.830851944,5.755618777,5.8187251,5.667647059,5.899201597,5.827802691,5.769851214,5.83557047,5.83006135,5.9000999,5.9,5.844049734,5.89469697
Kucch To Hai,2003,"Dramas, International Movies, Thrillers",India,4.2,0,5.718675722,5.322199026,5.842801556,5.269855255,0,5.734482759,5.392175162,5.859099804,5.766292135,0,5.891642085,5.795201536,5.883300199
Kung Fu Magoo,2010,"Children & Family Movies, Comedies","Mexico, United States",5,5.9000999,5.86627566,5.846153846,5.902912621,5.823255814,5.9000999,5.884086444,5.852081317,5.901960784,5.876320939,0,5.884079602,5.895228628,5.9
Kurbaan,2009,"International Movies, Thrillers",India,5.7,5.906281157,5.9,5.627877238,5.918566775,5.598087298,5.906281157,5.9,5.516060497,5.9,6.183581202,0,6.011002445,6.12885906,5.949530957
Kya Kehna,2000,"Dramas, International Movies, Romantic Movies",India,5.9,0,5.870224719,5.9,5.914298979,5.844603033,0,5.850715901,5.9,5.9,6.0105919,0,5.926027397,5.967474048,5.915686275
Kyaa Kool Hai Hum,2005,"Comedies, International Movies, Music & Musicals",India,6.1,0,5.998011219,6.01656237,5.86253469,6.041159164,0,5.995233106,6.070745368,5.864440263,5.836300175,0,5.882409178,5.837209302,5.894695481
Kyo Kii... Main Jhuth Nahin Bolta,2001,"Comedies, International Movies, Sci-Fi & Fantasy",India,5.3,5.902195609,5.763331139,5.538837082,5.868181818,5.553057782,5.902195609,5.77100271,5.594144144,5.868491835,5.789918256,0,5.874373796,5.819385797,5.897044335
La Bamba,1987,"Classic Movies, Dramas, Music & Musicals",United States,6.9,5.915399803,6.708993157,6.823195084,6.689624724,6.7506606,5.909811695,6.602487562,6.713253012,6.666031557,6.80722047,5.901098901,6.39802591,6.687055477,6.531516184
Lady in the Water,2006,"Sci-Fi & Fantasy, Thrillers",United States,5.5,5.88458498,5.276394194,5.605707654,5.712359412,5.506333122,5.88968254,5.131694469,5.509275577,5.62238806,5.806551363,5.900299103,5.693138777,5.810082678,6.043930474
Lakshya,2004,"Action & Adventure, Dramas, International Movies",India,7.9,5.908341609,7.662053428,7.59359044,6.086323714,7.767118464,5.908341609,7.641393443,7.579044075,6.057534247,6.639310996,0,6.284194529,6.442145594,5.988888889
Lal Patthar,1971,"Classic Movies, Dramas, International Movies",India,6.4,0,5.905522682,5.933333333,5.915738025,5.926168224,0,5.904459861,5.921965318,5.909803922,5.915913556,0,5.900398406,5.914144411,5.90329013
Lalbaug Parel: Zali Mumbai Sonyachi,2010,"Dramas, International Movies",India,7.2,0,6.040740741,5.991734787,5.873050346,6.098330551,0,6.039110287,5.988422972,5.871541502,5.903968254,0,5.904095904,5.899601594,5.9000999
Last Night,2010,"Dramas, Independent Movies, Romantic Movies","United States, France",6.6,5.898412698,6.626178832,6.572552249,6.228647877,6.376767958,5.894029851,6.364191942,6.364614296,6.130955121,6.850736489,5.90329013,6.762788145,6.817039987,6.224137931
